ind,group,continent,country,state,year,Pop,admix
Pd_56,group1,N_America,USA,Virginia,2009,pop06,0.000100132514489815
Pd_56,group1,N_America,USA,Virginia,2009,pop07,0.000100132514489815
Pd_57,group1,N_America,USA,Massachussetts,2008,pop01,0.999399542808533
Pd_57,group1,N_America,USA,Massachussetts,2008,pop02,0.000100059849501122
Pd_57,group1,N_America,USA,Massachussetts,2008,pop03,0.000100059849501122
Pd_57,group1,N_America,USA,Massachussetts,2008,pop04,0.000100059849501122
Pd_57,group1,N_America,USA,Massachussetts,2008,pop05,0.000100059849501122
Pd_57,group1,N_America,USA,Massachussetts,2008,pop06,0.000100059849501122
Pd_57,group1,N_America,USA,Massachussetts,2008,pop07,0.000100059849501122
Pd_58,group2,N_America,USA,Alabama,2015,pop01,0.963714241981506
Pd_58,group2,N_America,USA,Alabama,2015,pop02,0.000100427612778731
Pd_58,group2,N_America,USA,Alabama,2015,pop03,0.0347289629280567
Pd_58,group2,N_America,USA,Alabama,2015,pop04,0.000100427612778731
Pd_58,group2,N_America,USA,Alabama,2015,pop05,0.000887206173501909
